,ds,holiday
0,2014-04-18,Karfreitag
1,2014-06-09,Pfingstmontag
2,2014-01-01,Neujahrstag
3,2014-12-25,1. Weihnachtstag
4,2014-05-29,Christi Himmelfahrt
5,2014-12-26,2. Weihnachtstag
6,2014-01-06,Heilige Drei Könige
7,2014-10-03,Tag der Deutschen Einheit
8,2014-05-01,Tag der Arbeit
9,2014-04-21,Ostermontag
10,2014-10-31,Reformationstag
11,2015-04-03,Karfreitag
12,2015-05-25,Pfingstmontag
13,2015-01-01,Neujahrstag
14,2015-12-25,1. Weihnachtstag
15,2015-05-14,Christi Himmelfahrt
16,2015-12-26,2. Weihnachtstag
17,2015-01-06,Heilige Drei Könige
18,2015-10-03,Tag der Deutschen Einheit
19,2015-05-01,Tag der Arbeit
20,2015-04-06,Ostermontag
21,2015-10-31,Reformationstag
22,2016-03-25,Karfreitag
23,2016-05-16,Pfingstmontag
24,2016-01-01,Neujahrstag
25,2016-12-25,1. Weihnachtstag
26,2016-05-05,Christi Himmelfahrt
27,2016-12-26,2. Weihnachtstag
28,2016-01-06,Heilige Drei Könige
29,2016-10-03,Tag der Deutschen Einheit
30,2016-05-01,Tag der Arbeit
31,2016-03-28,Ostermontag
32,2016-10-31,Reformationstag
33,2017-04-14,Karfreitag
34,2017-06-05,Pfingstmontag
35,2017-01-01,Neujahrstag
36,2017-12-25,1. Weihnachtstag
37,2017-05-25,Christi Himmelfahrt
38,2017-12-26,2. Weihnachtstag
39,2017-01-06,Heilige Drei Könige
40,2017-10-03,Tag der Deutschen Einheit
41,2017-05-01,Tag der Arbeit
42,2017-04-17,Ostermontag
43,2017-10-31,Reformationstag
44,2018-03-30,Karfreitag
45,2018-05-21,Pfingstmontag
46,2018-01-01,Neujahrstag
47,2018-12-25,1. Weihnachtstag
48,2018-05-10,Christi Himmelfahrt
49,2018-12-26,2. Weihnachtstag
50,2018-01-06,Heilige Drei Könige
51,2018-10-03,Tag der Deutschen Einheit
52,2018-05-01,Tag der Arbeit
53,2018-04-02,Ostermontag
54,2018-10-31,Reformationstag
